id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e9ba448c-8fd1-11eb-924d-9cd76263cbd0,genus,Riodocea,,,Delprete,1999,"Brittonia 51(1): 17–21, f. 1–3. 1999.",,,,,1007277-1,wfo-4000033303,2893339,
04957b56-8fcc-11eb-924d-9cd76263cbd0,species,pulcherrima,Riodocea,,Delprete,1999,"Brittonia 51: 18 1999",,,,,1007278-1,wfo-0000297309,2893340,
05499ba8-8fcd-11eb-924d-9cd76263cbd0,species,riosjordanae,,,Bañares,1990,"Vieraea 18: 71 1990",,,,,958226-1,wfo-0000708821,,
9fada108-8fcd-11eb-924d-9cd76263cbd0,species,adenophora,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.92 1881",,,,,,wfo-0001009468,3001012,
9fae2df8-8fcd-11eb-924d-9cd76263cbd0,species,adriatica,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.187 1881",,,,,,wfo-0001009473,3001013,
9faea13e-8fcd-11eb-924d-9cd76263cbd0,species,anisodonta,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.280 1881",,,,,,wfo-0001009477,3001003,
a0dc4fe8-8fcd-11eb-924d-9cd76263cbd0,species,arvensis,Ripartia,,"(Huds.) Gand.",1892,"Monographia Rosarum Europae et Orientis ; 1892 80 1892",,,,,,wfo-0001012101,3008888,
9fadf680-8fcd-11eb-924d-9cd76263cbd0,species,baldensis,Ripartia,,"(A.Kern. ex D‚s‚gl.) Gand.",1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.192 1881",,,,9cd276c0-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001009471,3001001,
a0dafe22-8fcd-11eb-924d-9cd76263cbd0,species,balearica,Ripartia,,"(Dum.Cours.) Gand.",1892,"Monographia Rosarum Europae et Orientis ; 1892 55 1892",,,,9fbb9e20-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001012089,3007376,
9f1c5176-8fcd-11eb-924d-9cd76263cbd0,species,benearnensis,Ripartia,,Gand.,1884,"Herborisations dans les Pyr‚n‚es ; 1884 41 1884",,,,,,wfo-0001008183,3008924,
9fae10fc-8fcd-11eb-924d-9cd76263cbd0,species,carniolica,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.190 1881",,,,,,wfo-0001009472,3001007,
9fae67b4-8fcd-11eb-924d-9cd76263cbd0,species,croatica,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.191 1881",,,,,,wfo-0001009475,3001008,
9fad839e-8fcd-11eb-924d-9cd76263cbd0,species,dalmatica,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.80 1881",,,,,,wfo-0001009467,3001006,
9facf514-8fcd-11eb-924d-9cd76263cbd0,species,densifolia,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.44 1881",,,,,,wfo-0001009462,3001010,
9f81d56e-8fcd-11eb-924d-9cd76263cbd0,species,fagetorum,Ripartia,,Gand.,1884,"Herborisations dans les Pyr‚n‚es ; 1884 58 1884",,,,,,wfo-0001009082,3008899,
9fad1152-8fcd-11eb-924d-9cd76263cbd0,species,freynii,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.40 1881",,,,,,wfo-0001009463,3000999,
9facd912-8fcd-11eb-924d-9cd76263cbd0,species,istriaca,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.69 1881",,,,,,wfo-0001009461,3001004,
9fad68aa-8fcd-11eb-924d-9cd76263cbd0,species,parvifolia,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.59 1881",,,,,,wfo-0001009466,3001009,
933816ce-8fcd-11eb-924d-9cd76263cbd0,species,pyrenaica,Ripartia,,"Gand.,p.p.8976",1884,"Herborisations dans les Pyr‚n‚es ; 1884 41 1884",,,,,,wfo-0000983659,3008767,
9f972aea-8fcd-11eb-924d-9cd76263cbd0,species,pyrenaica,Ripartia,,"Gand.,p.p.535",1884,"Herborisations dans les Pyr‚n‚es ; 1884 41 1884",,,,,,wfo-0001009272,3008767,
9fad4c4e-8fcd-11eb-924d-9cd76263cbd0,species,ragusina,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.57 1881",,,,,,wfo-0001009465,3001011,
9fadbd78-8fcd-11eb-924d-9cd76263cbd0,species,repens,Ripartia,,"(Scop. ex Chevall.) Gand.",1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.164 1881",,,,9fbb1680-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001009469,3008889,
a0ae53a4-8fcd-11eb-924d-9cd76263cbd0,species,segobricensis,Ripartia,,Gand.,1892,"Monographia Rosarum Europae et Orientis ; 1892 44 1892",,,,,,wfo-0001011738,3001014,
9facbe0a-8fcd-11eb-924d-9cd76263cbd0,species,sempervirens,Ripartia,,"(L.) Gand.",1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.84 1881",,,,,,wfo-0001009460,3007398,
9fae81ae-8fcd-11eb-924d-9cd76263cbd0,species,stylosa,Ripartia,,"(Desv.) Gand.",1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.234 1881",,,,9c654ae6-8fcd-11eb-924d-9cd76263cbd0,,wfo-0001009476,3005403,
9f9c31fc-8fcd-11eb-924d-9cd76263cbd0,species,vasconica,Ripartia,,Gand.,1884,"Herborisations dans les Pyr‚n‚es ; 1884 68 1884",,,,,,wfo-0001009318,3008913,
9fae4af4-8fcd-11eb-924d-9cd76263cbd0,species,velutina,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.189 1881",,,,,,wfo-0001009474,3001002,
a1aa0992-8fcd-11eb-924d-9cd76263cbd0,species,vireticola,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 34 1881",,,,,,wfo-0001013751,3001000,
9fad2f02-8fcd-11eb-924d-9cd76263cbd0,species,visianii,Ripartia,,Gand.,1881,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.47 1881",,,,,,wfo-0001009464,3001005,
749820c4-8fc3-11eb-924d-9cd76263cbd0,species,caerulea,Ripasia,,"(Trew) Raf.",,,,,,74740b80-8fc3-11eb-924d-9cd76263cbd0,,wfo-0000182904,2976094,
6022d68e-8fcd-11eb-924d-9cd76263cbd0,species,arundinaceum,Ripidium,,"(Retz.) Grassl",1972,"Proc. Congr. Int. Soc. Sugar Cane Technol. 14: 244 1972",,,,60a45060-8fcd-11eb-924d-9cd76263cbd0,419459-1,wfo-0000895887,5678546,
60230cb2-8fcd-11eb-924d-9cd76263cbd0,species,bengalense,Ripidium,,"(Retz.) Grassl",1972,"Proc. Congr. Int. Soc. Sugar Cane Technol. 14: 244 1972",,,,60a6672e-8fcd-11eb-924d-9cd76263cbd0,419460-1,wfo-0000895889,5678543,
ae46f512-8fd1-11eb-924d-9cd76263cbd0,species,dichotomum,Ripidium,,Bernh.,1800,"J. Bot. (Schrader) 1800(2): 127, t. 2, f. 3 1801",,,,,17218540-1,wfo-0001221416,5565035,
60232f76-8fcd-11eb-924d-9cd76263cbd0,species,elephantinum,Ripidium,,"(Hook.f.) Grassl",1972,"Proc. Congr. Int. Soc. Sugar Cane Technol. 14: 244 1972",,,,,419461-1,wfo-0000895890,5678541,
6023512c-8fcd-11eb-924d-9cd76263cbd0,species,japonicum,Ripidium,,"(Thunb.) Trin.",1820,"Fund. Agrost. 169 1820",,,,,419462-1,wfo-0000895891,5678537,
60237580-8fcd-11eb-924d-9cd76263cbd0,species,kanashiroi,Ripidium,,"(Ohwi) Grassl",1972,"Proc. Congr. Int. Soc. Sugar Cane Technol. 14: 244 1972",,,,,419463-1,wfo-0000895892,5678534,
60239844-8fcd-11eb-924d-9cd76263cbd0,species,procerum,Ripidium,,"(Roxb.) Grassl",1972,"Proc. Congr. Int. Soc. Sugar Cane Technol. 14: 244 1972",,,,60cad15e-8fcd-11eb-924d-9cd76263cbd0,419464-1,wfo-0000895893,5678532,
6023b5b8-8fcd-11eb-924d-9cd76263cbd0,species,ravennae,Ripidium,,"(L.) Trin.",1820,"Fund. Agrost. 169 1820",,,,4906a228-8fcd-11eb-924d-9cd76263cbd0,419465-1,wfo-0000895894,5678529,
6023d2dc-8fcd-11eb-924d-9cd76263cbd0,species,strictum,Ripidium,,"(Host) Trin.",1820,"Fund. Agrost. 169 1820",,,,,419466-1,wfo-0000895895,5678525,
